mes,arquivo_local,arquivo_fonte,url,sha256,bytes,data_download
2020-11,dados/bruto/pdf/2020-11.pdf,2020_11_2.pdf,https://www.fenabrave.org.br/portal/files/2020_11_2.pdf,29ea6a6cfdc37d3f2b934b3db8172a32f9f527d3cd13dead64bbbed17a781e4c,743141,2026-09-12T00:59:35+00:00
2020-12,dados/bruto/pdf/2020-12.pdf,2020_12_2.pdf,https://www.fenabrave.org.br/portal/files/2020_12_2.pdf,eab37f9f93481dcbcab10c6f67420a5bc220145cf627e5e6e9beaa2e76a09a6e,1146697,2026-09-12T00:59:40+00:00
2021-01,dados/bruto/pdf/2021-01.pdf,2021_01_2.pdf,https://www.fenabrave.org.br/portal/files/2021_01_2.pdf,d1ab2864517a2fa98d8124ca5baf4c0ddc4e9f62a168f0be00e0af2087336095,559572,2026-09-12T00:59:43+00:00
2021-02,dados/bruto/pdf/2021-02.pdf,2021_02_2.pdf,https://www.fenabrave.org.br/portal/files/2021_02_2.pdf,732095f9bf8d3139e030a834887d286ed6a3dd8d3ea2dda79f29a67637d7f16c,589025,2026-09-12T00:59:46+00:00
2021-03,dados/bruto/pdf/2021-03.pdf,2021_03_2.pdf,https://www.fenabrave.org.br/portal/files/2021_03_2.pdf,15fd22f671f1d806e823adc567c0f4ef67e87bf33a456e46b2225237019ef873,3564870,2026-09-12T00:59:55+00:00
2021-04,dados/bruto/pdf/2021-04.pdf,2021_04_2.pdf,https://www.fenabrave.org.br/portal/files/2021_04_2.pdf,ac731504cc56a9e9dc6836bc92a36ef16c4f52f13ecff5206d83ba923d08cee0,770019,2026-09-12T00:59:58+00:00
2021-05,dados/bruto/pdf/2021-05.pdf,2021_05_2.pdf,https://www.fenabrave.org.br/portal/files/2021_05_2.pdf,60e8c92053aef9f1e44a357d3ebe41aae26264b341340a7d8f63b3e9f2dac61c,841653,2026-09-12T01:00:01+00:00
2021-06,dados/bruto/pdf/2021-06.pdf,2021_06_2.pdf,https://www.fenabrave.org.br/portal/files/2021_06_2.pdf,59c53685aa054982209c0c1ef2a819064a827737cf17aabb75d033d489632b53,11680850,2026-09-12T01:00:18+00:00
2021-07,dados/bruto/pdf/2021-07.pdf,2021_07_2.pdf,https://www.fenabrave.org.br/portal/files/2021_07_2.pdf,47fbf19a14560b66329d508887dc85bb3ee8c8bfb5b45b0416dc9b792d96ae11,700784,2026-09-12T01:00:20+00:00
2021-08,dados/bruto/pdf/2021-08.pdf,2021_08_2.pdf,https://www.fenabrave.org.br/portal/files/2021_08_2.pdf,5b2442475136a0882a2fba7366cec02410024ce7ec9ff8efb331089c55b2a96b,827654,2026-09-12T01:00:24+00:00
2021-09,dados/bruto/pdf/2021-09.pdf,2021_09_2.pdf,https://www.fenabrave.org.br/portal/files/2021_09_2.pdf,16c67256ee341309ef09acbfacca67c0caa1da4ff3753fd094092b2d9d63f036,827795,2026-09-12T01:00:27+00:00
2021-10,dados/bruto/pdf/2021-10.pdf,2021_10_2.pdf,https://www.fenabrave.org.br/portal/files/2021_10_2.pdf,e58ede3704bb23a0a32ff965fecf2d846a260dd100b628af53617d6d0339d8b0,829061,2026-09-12T01:00:30+00:00
2021-11,dados/bruto/pdf/2021-11.pdf,2021_11_2.pdf,https://www.fenabrave.org.br/portal/files/2021_11_2.pdf,c76921e8b59a8d0638c66c9a7756c097bb22c6c79d4cad725e538f5222b36b69,2859290,2026-09-12T01:00:38+00:00
2021-12,dados/bruto/pdf/2021-12.pdf,2021_12_2.pdf,https://www.fenabrave.org.br/portal/files/2021_12_2.pdf,4e4efd3050cc61ab092e2a13d6ec4ac46ef7589a44e75d0603b40e3465334451,2793936,2026-09-12T01:00:45+00:00
2022-01,dados/bruto/pdf/2022-01.pdf,2022_01_2.pdf,https://www.fenabrave.org.br/portal/files/2022_01_2.pdf,b7234b6fd433e4033649376888c161bf2ef535982e1c483c39efc214db22a081,4540507,2026-09-12T01:00:56+00:00
2022-02,dados/bruto/pdf/2022-02.pdf,2022_02_2.pdf,https://www.fenabrave.org.br/portal/files/2022_02_2.pdf,a3f3d98ce107ebde1b2ffd6a535fdf4cc19c8b5b04a98bd9157bcba3be368eab,2827171,2026-09-12T01:01:04+00:00
2022-03,dados/bruto/pdf/2022-03.pdf,2022_03_2.pdf,https://www.fenabrave.org.br/portal/files/2022_03_2.pdf,14e08f9212574fc1156b34dfe186d988304ea705a0ca12a4340b3aaf5ddacf93,2821560,2026-09-12T01:01:12+00:00
2022-04,dados/bruto/pdf/2022-04.pdf,2022_04_2.pdf,https://www.fenabrave.org.br/portal/files/2022_04_2.pdf,1c231a9ffc0feffd8c84c8c2f907dfe06bda4ca1112aff34a5041b63ed8d5a03,2843144,2026-09-12T01:01:18+00:00
2022-05,dados/bruto/pdf/2022-05.pdf,2022_05_2.pdf,https://www.fenabrave.org.br/portal/files/2022_05_2.pdf,b2aafc2c884b55589a2e108e2ae4d3deb3e9e0ea6c2bfb182bd78faa7f30edd2,2845374,2026-09-12T01:01:26+00:00
2022-06,dados/bruto/pdf/2022-06.pdf,2022_06_2.pdf,https://www.fenabrave.org.br/portal/files/2022_06_2.pdf,913c8e3b4c8116b8373110d3409c5718f21baa17b54d5850dfdeeb69f0f0c445,2842663,2026-09-12T01:01:34+00:00
2022-07,dados/bruto/pdf/2022-07.pdf,2022_07_2.pdf,https://www.fenabrave.org.br/portal/files/2022_07_2.pdf,58f62c55e5bb45216da79e437e92d88f9846da904740e5136d77569ded1ff128,2800987,2026-09-12T01:01:40+00:00
2022-08,dados/bruto/pdf/2022-08.pdf,2022_08_2.pdf,https://www.fenabrave.org.br/portal/files/2022_08_2.pdf,a2420891faf46651cf813e4e8c165281deceb37bfda95a56b1ba4ebf4e250bdc,2956209,2026-09-12T01:01:47+00:00
2022-09,dados/bruto/pdf/2022-09.pdf,2022_09_2.pdf,https://www.fenabrave.org.br/portal/files/2022_09_2.pdf,5625926a3b35562866acb19985a6ae304b513dcf74175ba5af46c487b44c4099,2931495,2026-09-12T01:01:54+00:00
