mes,segmento,nome_completo_fonte,valor_ranking,valor_sub_segmento,diferenca,arquivo_origem
2012-08,comerciais_leves,FIAT/DOBLO,549,548,1,2012-08.pdf
2012-09,automoveis,FIAT/DOBLO,902,895,7,2012-09.pdf
2012-09,comerciais_leves,FIAT/STRADA,9517,9515,2,2012-09.pdf
2012-09,comerciais_leves,HAFEI/MINI,54,52,2,2012-09.pdf
2012-10,automoveis,FIAT/DOBLO,1334,1332,2,2012-10.pdf
2012-10,comerciais_leves,FIAT/STRADA,11641,11638,3,2012-10.pdf
2012-11,automoveis,FIAT/DOBLO,1266,1264,2,2012-11.pdf
2012-11,comerciais_leves,VW/SAVEIRO,5062,5061,1,2012-11.pdf
2012-11,comerciais_leves,HAFEI/MINI,47,46,1,2012-11.pdf
2013-02,automoveis,FIAT/DOBLO,870,867,3,2013-02.pdf
2013-02,comerciais_leves,FIAT/STRADA,8219,8218,1,2013-02.pdf
2013-03,automoveis,FIAT/DOBLO,1000,997,3,2013-03.pdf
2013-04,automoveis,FIAT/DOBLO,1185,1181,4,2013-04.pdf
2013-04,comerciais_leves,FIAT/STRADA,11744,11743,1,2013-04.pdf
2013-05,automoveis,FIAT/DOBLO,1225,1217,8,2013-05.pdf
2013-05,comerciais_leves,FIAT/STRADA,11081,11079,2,2013-05.pdf
2013-06,automoveis,FIAT/DOBLO,955,953,2,2013-06.pdf
2013-06,comerciais_leves,FIAT/STRADA,11770,11764,6,2013-06.pdf
2013-07,automoveis,FIAT/DOBLO,913,885,28,2013-07.pdf
2013-07,comerciais_leves,FIAT/STRADA,10897,10891,6,2013-07.pdf
2013-07,comerciais_leves,VW/SAVEIRO,6883,6881,2,2013-07.pdf
2013-08,comerciais_leves,FIAT/STRADA,11660,11656,4,2013-08.pdf
2013-09,comerciais_leves,FIAT/STRADA,11223,11217,6,2013-09.pdf
2013-09,comerciais_leves,HAFEI/MINI,39,38,1,2013-09.pdf
2013-10,comerciais_leves,FIAT/STRADA,8827,8821,6,2013-10.pdf
2013-11,comerciais_leves,FIAT /STRADA,6952,6948,4,2013-11.pdf
2013-11,comerciais_leves,HAFEI/MINI,28,27,1,2013-11.pdf
2013-12,comerciais_leves,FIAT/STRADA,11319,11311,8,2013-12.pdf
2013-12,comerciais_leves,VW/SAVEIRO,6370,6369,1,2013-12.pdf
2014-01,comerciais_leves,FIAT/STRADA,12372,12367,5,2014-01.pdf
2014-02,automoveis,FIAT/DOBLO,1013,1012,1,2014-02.pdf
2014-02,comerciais_leves,FIAT/STRADA,13458,13456,2,2014-02.pdf
2014-02,comerciais_leves,VW/SAVEIRO,5072,5069,3,2014-02.pdf
2014-04,automoveis,FIAT/DOBLO,1031,1025,6,2014-04.pdf
2014-04,comerciais_leves,FIAT/STRADA,13297,13294,3,2014-04.pdf
2014-04,comerciais_leves,VW/SAVEIRO,5421,5419,2,2014-04.pdf
2014-05,comerciais_leves,FIAT/STRADA,12614,12610,4,2014-05.pdf
2014-06,automoveis,VW/FOX/CROSS FOX,5985,6834,-849,2014-06.pdf
2014-06,automoveis,FIAT/DOBLO,868,866,2,2014-06.pdf
2014-06,comerciais_leves,FIAT/STRADA,10561,10559,2,2014-06.pdf
2014-06,comerciais_leves,VW/SAVEIRO,6721,6720,1,2014-06.pdf
2014-07,automoveis,FIAT/DOBLO,1241,1240,1,2014-07.pdf
2014-07,comerciais_leves,VW/SAVEIRO,7295,7293,2,2014-07.pdf
2014-08,comerciais_leves,FIAT/STRADA,12848,12846,2,2014-08.pdf
